,Unnamed: 0,lyric,line,track_title,album,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,Without Stopwords,With Lemmatization,Without Stopwords and With Lemmatization,Lowercase and Expanded Contraction
61,61,I really really hate that,39,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.173,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586,really really hate,i really really hate that,really really hate,i really really hate that
62,62,"Burn, burn, burn, baby, burn",48,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.173,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586,burn burn burn baby burn,burn burn burn baby burn,burn burn burn baby burn,burn burn burn baby burn
63,63,you are just another picture to burn,49,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.173,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586,another picture burn,you be just another picture to burn,another picture burn,you are just another picture to burn
64,64,"Baby, burn",50,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.173,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586,baby burn,baby burn,baby burn,baby burn
65,65,Drew looks at me,1,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.417,0.0,0.119,-6.941,0.0231,0.289,99.953,drew looks,drew look at me,drew look,drew looks at me
66,66,I fake a smile so he will not see,2,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.417,0.0,0.119,-6.941,0.0231,0.289,99.953,fake smile see,i fake a smile so he will not see,fake smile see,i fake a smile so he will not see
67,67,That I want and I am needing,3,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.417,0.0,0.119,-6.941,0.0231,0.289,99.953,want needing,that i want and i be need,want need,that i want and i am needing
68,68,Everything that we should be,4,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.417,0.0,0.119,-6.941,0.0231,0.289,99.953,everything,everything that we should be,everything,everything that we should be
69,69,"I will bet she is beautiful, that girl he talks about",5,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.417,0.0,0.119,-6.941,0.0231,0.289,99.953,bet beautiful girl talks,i will bet she be beautiful that girl he talk about,bet beautiful girl talk,i will bet she is beautiful that girl he talks about
70,70,And she is got everything that I have to live without,6,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.417,0.0,0.119,-6.941,0.0231,0.289,99.953,got everything live without,and she be get everything that i have to live without,get everything live without,and she is got everything that i have to live without
71,71,Drew talks to me,7,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.417,0.0,0.119,-6.941,0.0231,0.289,99.953,drew talks,drew talk to me,drew talk,drew talks to me
72,72,I laugh because it is so damn funny,8,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.417,0.0,0.119,-6.941,0.0231,0.289,99.953,laugh damn funny,i laugh because it be so damn funny,laugh damn funny,i laugh because it is so damn funny
73,73,That I cannot even see,9,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.417,0.0,0.119,-6.941,0.0231,0.289,99.953,cannot even see,that i cannot even see,cannot even see,that i cannot even see
74,74,Anyone when he is with me,10,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.417,0.0,0.119,-6.941,0.0231,0.289,99.953,anyone,anyone when he be with me,anyone,anyone when he is with me
75,75,"He says he is so in love, he is finally got it right",11,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.417,0.0,0.119,-6.941,0.0231,0.289,99.953,says love finally got right,he say he be so in love he be finally get it right,say love finally get right,he says he is so in love he is finally got it right
76,76,I wonder if he knows he is all I think about at night,12,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.417,0.0,0.119,-6.941,0.0231,0.289,99.953,wonder knows think night,i wonder if he know he be all i think about at night,wonder know think night,i wonder if he knows he is all i think about at night
