,lyric,line,track_title,album,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
76,I wonder if he knows he's all I think about at night,12,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.41700000000000004,0.0,0.11900000000000001,-6.941,0.0231,0.289,99.95299999999999
77,He's the reason for the teardrops on my guitar,13,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.41700000000000004,0.0,0.11900000000000001,-6.941,0.0231,0.289,99.95299999999999
78,The only thing that keeps me wishing on a wishing star,14,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.41700000000000004,0.0,0.11900000000000001,-6.941,0.0231,0.289,99.95299999999999
79,He's the song in the car,15,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.41700000000000004,0.0,0.11900000000000001,-6.941,0.0231,0.289,99.95299999999999
80,"I keep singing, don't know why I do...",16,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.41700000000000004,0.0,0.11900000000000001,-6.941,0.0231,0.289,99.95299999999999
81,Drew walks by me,17,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.41700000000000004,0.0,0.11900000000000001,-6.941,0.0231,0.289,99.95299999999999
82,Can't he tell that I can't breathe?,18,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.41700000000000004,0.0,0.11900000000000001,-6.941,0.0231,0.289,99.95299999999999
83,"And there he goes, so perfectly",19,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.41700000000000004,0.0,0.11900000000000001,-6.941,0.0231,0.289,99.95299999999999
84,The kind of flawless I wish I could be,20,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.41700000000000004,0.0,0.11900000000000001,-6.941,0.0231,0.289,99.95299999999999
85,"She'd better hold him tight, give him all her love",21,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.41700000000000004,0.0,0.11900000000000001,-6.941,0.0231,0.289,99.95299999999999
86,Look in those beautiful eyes and know she's lucky 'cause,22,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.41700000000000004,0.0,0.11900000000000001,-6.941,0.0231,0.289,99.95299999999999
87,"So I drive home alone, as I turn off the light",27,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.41700000000000004,0.0,0.11900000000000001,-6.941,0.0231,0.289,99.95299999999999
88,I'll put his picture down and maybe get some sleep tonight,28,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.41700000000000004,0.0,0.11900000000000001,-6.941,0.0231,0.289,99.95299999999999
89,The only one who's got enough of me to break my heart,30,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.41700000000000004,0.0,0.11900000000000001,-6.941,0.0231,0.289,99.95299999999999
90,"He's the time taken up, but there's never enough",33,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.41700000000000004,0.0,0.11900000000000001,-6.941,0.0231,0.289,99.95299999999999
91,And he's all that I need to fall into,34,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.41700000000000004,0.0,0.11900000000000001,-6.941,0.0231,0.289,99.95299999999999
92,"I don't know what I want, so don't ask me",1,A Place in this World,Taylor Swift,2006-10-24,199200,49,0.5760000000000001,0.051,0.777,0.0,0.32,-2.8810000000000002,0.0324,0.428,115.02799999999999
93,Cause I'm still trying to figure it out,2,A Place in this World,Taylor Swift,2006-10-24,199200,49,0.5760000000000001,0.051,0.777,0.0,0.32,-2.8810000000000002,0.0324,0.428,115.02799999999999
94,"Don't know what's down this road, I'm just walking",3,A Place in this World,Taylor Swift,2006-10-24,199200,49,0.5760000000000001,0.051,0.777,0.0,0.32,-2.8810000000000002,0.0324,0.428,115.02799999999999
95,Trying to see through the rain coming down,4,A Place in this World,Taylor Swift,2006-10-24,199200,49,0.5760000000000001,0.051,0.777,0.0,0.32,-2.8810000000000002,0.0324,0.428,115.02799999999999
96,Even though I'm not the only one,5,A Place in this World,Taylor Swift,2006-10-24,199200,49,0.5760000000000001,0.051,0.777,0.0,0.32,-2.8810000000000002,0.0324,0.428,115.02799999999999
97,Who feels the way I do,6,A Place in this World,Taylor Swift,2006-10-24,199200,49,0.5760000000000001,0.051,0.777,0.0,0.32,-2.8810000000000002,0.0324,0.428,115.02799999999999
98,"I'm alone, on my own, and that's all I know",7,A Place in this World,Taylor Swift,2006-10-24,199200,49,0.5760000000000001,0.051,0.777,0.0,0.32,-2.8810000000000002,0.0324,0.428,115.02799999999999
99,"I'll be strong, I'll be wrong, oh but life goes on",8,A Place in this World,Taylor Swift,2006-10-24,199200,49,0.5760000000000001,0.051,0.777,0.0,0.32,-2.8810000000000002,0.0324,0.428,115.02799999999999
100,"Oh, I'm just a girl, trying to find a place in this world",9,A Place in this World,Taylor Swift,2006-10-24,199200,49,0.5760000000000001,0.051,0.777,0.0,0.32,-2.8810000000000002,0.0324,0.428,115.02799999999999
101,"Got the radio on, my old blue jeans",10,A Place in this World,Taylor Swift,2006-10-24,199200,49,0.5760000000000001,0.051,0.777,0.0,0.32,-2.8810000000000002,0.0324,0.428,115.02799999999999
102,And I'm wearing my heart on my sleeve,11,A Place in this World,Taylor Swift,2006-10-24,199200,49,0.5760000000000001,0.051,0.777,0.0,0.32,-2.8810000000000002,0.0324,0.428,115.02799999999999
103,"Feeling lucky today, got the sunshine",12,A Place in this World,Taylor Swift,2006-10-24,199200,49,0.5760000000000001,0.051,0.777,0.0,0.32,-2.8810000000000002,0.0324,0.428,115.02799999999999
104,Could you tell me what more do I need,13,A Place in this World,Taylor Swift,2006-10-24,199200,49,0.5760000000000001,0.051,0.777,0.0,0.32,-2.8810000000000002,0.0324,0.428,115.02799999999999
105,"And tomorrow's just a mystery, oh yeah",14,A Place in this World,Taylor Swift,2006-10-24,199200,49,0.5760000000000001,0.051,0.777,0.0,0.32,-2.8810000000000002,0.0324,0.428,115.02799999999999
106,But that's OK,15,A Place in this World,Taylor Swift,2006-10-24,199200,49,0.5760000000000001,0.051,0.777,0.0,0.32,-2.8810000000000002,0.0324,0.428,115.02799999999999
107,Maybe I'm just a girl on a mission,19,A Place in this World,Taylor Swift,2006-10-24,199200,49,0.5760000000000001,0.051,0.777,0.0,0.32,-2.8810000000000002,0.0324,0.428,115.02799999999999
108,But I'm ready to fly,20,A Place in this World,Taylor Swift,2006-10-24,199200,49,0.5760000000000001,0.051,0.777,0.0,0.32,-2.8810000000000002,0.0324,0.428,115.02799999999999
109,"Oh I'm alone, on my own, and that's all I know",23,A Place in this World,Taylor Swift,2006-10-24,199200,49,0.5760000000000001,0.051,0.777,0.0,0.32,-2.8810000000000002,0.0324,0.428,115.02799999999999
110,"Oh I'm just a girl, trying to find a place in this world",24,A Place in this World,Taylor Swift,2006-10-24,199200,49,0.5760000000000001,0.051,0.777,0.0,0.32,-2.8810000000000002,0.0324,0.428,115.02799999999999
111,Oh I'm just a girl,25,A Place in this World,Taylor Swift,2006-10-24,199200,49,0.5760000000000001,0.051,0.777,0.0,0.32,-2.8810000000000002,0.0324,0.428,115.02799999999999
112,"Oh I'm just a girl, oh, oh",26,A Place in this World,Taylor Swift,2006-10-24,199200,49,0.5760000000000001,0.051,0.777,0.0,0.32,-2.8810000000000002,0.0324,0.428,115.02799999999999
113,You have a way of coming easily to me,1,Cold As You,Taylor Swift,2006-10-24,239013,50,0.418,0.217,0.48200000000000004,0.0,0.12300000000000001,-5.769,0.0266,0.261,175.558
114,"And when you take, you take the very best of me",2,Cold As You,Taylor Swift,2006-10-24,239013,50,0.418,0.217,0.48200000000000004,0.0,0.12300000000000001,-5.769,0.0266,0.261,175.558
115,So I start a fight cause I need to feel something,3,Cold As You,Taylor Swift,2006-10-24,239013,50,0.418,0.217,0.48200000000000004,0.0,0.12300000000000001,-5.769,0.0266,0.261,175.558
116,And you do what you want cause I'm not what you wanted,4,Cold As You,Taylor Swift,2006-10-24,239013,50,0.418,0.217,0.48200000000000004,0.0,0.12300000000000001,-5.769,0.0266,0.261,175.558
117,"Oh what a shame, what a rainy ending given to a perfect day",5,Cold As You,Taylor Swift,2006-10-24,239013,50,0.418,0.217,0.48200000000000004,0.0,0.12300000000000001,-5.769,0.0266,0.261,175.558
118,"Just walk away, no use defending words that you will never say",6,Cold As You,Taylor Swift,2006-10-24,239013,50,0.418,0.217,0.48200000000000004,0.0,0.12300000000000001,-5.769,0.0266,0.261,175.558
119,And now that I'm sitting here thinking it through,7,Cold As You,Taylor Swift,2006-10-24,239013,50,0.418,0.217,0.48200000000000004,0.0,0.12300000000000001,-5.769,0.0266,0.261,175.558
120,I've never been anywhere cold as you,8,Cold As You,Taylor Swift,2006-10-24,239013,50,0.418,0.217,0.48200000000000004,0.0,0.12300000000000001,-5.769,0.0266,0.261,175.558
121,You put up walls and paint them all a shade of gray,9,Cold As You,Taylor Swift,2006-10-24,239013,50,0.418,0.217,0.48200000000000004,0.0,0.12300000000000001,-5.769,0.0266,0.261,175.558
122,And I stood there loving you and wished them all away,10,Cold As You,Taylor Swift,2006-10-24,239013,50,0.418,0.217,0.48200000000000004,0.0,0.12300000000000001,-5.769,0.0266,0.261,175.558
